question,answering
"使用非 Tesla 配件插入低電壓電源插座有何建議？","不建議使用。若使用且出現異常，請立即拔下。避免使用電源逆變器。"
"如何查看車輛狀態？","觸控螢幕會隨時顯示車輛狀態，內容取決於停車、駕駛或充電狀態。"
"停車時觸控螢幕狀態區顯示什麼？","顯示駕駛模式、預估續航里程、車輛俯視圖，以及開啟行李廂/充電埠的按鈕。"
"煞車系統指示燈（紅色圓圈內含驚嘆號和 BRAKE 字樣）亮起代表什麼？","表示偵測到煞車系統故障或煞車油量低。應立即聯絡 Tesla 並在安全情況下停車。"
"煞車增壓器故障指示燈（琥珀色圓圈內含驚嘆號和 BRAKE 字樣）代表什麼？","表示偵測到煞車增壓器故障。應在安全情況下平穩用力停車。「液態增壓補償」將啟用。"
"ABS 指示燈亮起代表什麼？","表示 ABS 發生故障無法運作。煞車系統仍可運作但煞停距離可能增加。請聯絡 Tesla。"
"手煞車指示燈亮起代表什麼？","紅色 P 代表手動啟用手煞車。琥珀色 P 代表手煞車發生電氣問題。"
"胎壓警告燈亮起或閃爍代表什麼？","恆亮表示胎壓異常。閃爍表示胎壓監測系統故障。請參閱輪胎維護與保養。"
"安全帶未繫指示燈亮起代表什麼？","表示有乘客的座椅安全帶未繫妥。"
"安全氣囊指示燈亮起代表什麼？","若未在啟動時短暫閃爍後熄滅，或持續亮著，表示安全氣囊有問題。請立即聯絡 Tesla。"
"主動式轉向頭燈啟用且遠光燈開啟時，指示燈狀態為何？","顯示藍色頭燈符號，內部有字母 A。"
"主動式轉向頭燈啟用但因偵測到前方燈光而未開啟遠光燈時，指示燈狀態為何？","顯示灰色頭燈符號，內部有字母 A。"
"電子穩定控制系統作用時，指示燈狀態為何？","琥珀色車輛打滑圖示會亮起。"
"「保持煞車」功能啟用時，指示燈狀態為何？","顯示灰色圓圈內含 H 的圖示。"
"車門或行李廂開啟時，指示燈狀態為何？","顯示紅色車輛圖示，對應的門或行李廂會顯示為開啟。"
"再生煞車受限時，指示燈狀態為何？","顯示一個帶有向下箭頭的電池圖示。"
"如何使用語音指令？","完全按下方向盤右邊的麥克風按鈕，聽到提示音後說出您的要求。"
"可以使用語音指令控制哪些恆溫功能？","調整溫度、風扇速度、開啟/關閉座椅加熱器、除霧、空調同步、氣流方向等。"
"可以使用語音指令控制雨刷嗎？","可以，例如「加快雨刷速度」、「打開/關閉雨刷」。"
"可以使用語音指令控制哪些車輛功能？","開關哨兵模式、鎖/解鎖車門、開關寵物模式、收合/展開後視鏡、開關充電埠、打開手套箱等。"
"如何使用語音指令導航？","說出「[地點] 在哪裡？」、「前往 [地點]」、「導航到 [地點]」、「顯示附近的超級充電站」等。"
"如何使用語音指令撥打電話或傳送簡訊？","說出「打電話給 [聯絡人姓名/電話號碼]」或「發簡訊給 [聯絡人姓名/電話號碼]」。"
"如何使用語音指令控制多媒體？","說出「聆聽 [歌曲名稱]」、「調高/調低音量」、「跳到下一首」、「暫停/播放歌曲」、「來源改到 [媒體來源]」。"
"Model 3 有哪些鏡頭用於主動監控周圍區域？","後牌照上方一個、每個 B 柱一個、擋風玻璃後視鏡上方兩個、每個前擋泥板一個。"
"車廂鏡頭的功能是什麼？","監控駕駛人專注程度（在 Autopilot 啟用時）、用於哨兵模式錄影等。"
"為什麼需要行駛一段距離來校正鏡頭？","Autopilot 功能需要精準的鏡頭數據，首次使用或維修後需要自動校正程序。"
"鏡頭校正通常需要行駛多遠？","通常在行駛 20 至 25 英里（32-40 公里）時完成，但會受路況影響。"
"清除鏡頭校正資料的步驟是什麼？","輕觸「控制」>「服務」>「鏡頭校正」>「清除校正資料」。"
"保持鏡頭清潔為何重要？","髒污或被遮蔽的鏡頭會影響 Autopilot 功能。如果鏡頭受阻，系統會顯示訊息且功能可能無法使用。"
"如何處理鏡頭外殼內的水氣凝結？","預先調節車廂溫度，將溫度調高並開啟擋風玻璃除霧器，將氣流引導至門柱。"
"Model 3 支援哪些類型的鑰匙？","手機鑰匙、卡片鑰匙、遙控鑰匙（若有配備）。"
"Model 3 最多可以支援多少把鑰匙？","總共 19 把，包含手機鑰匙、卡片鑰匙和最多 4 把遙控鑰匙。"
"使用手機鑰匙需要一直連上網路嗎？","不需要。手機通過驗證後，使用藍牙即可運作。但免持電話、存取聯絡人等功能需要藍牙配對連線。"
"如果手機鑰匙沒電或遺失，該如何解鎖和駕駛？","使用卡片鑰匙。"
"如何使用卡片鑰匙解鎖/上鎖 Model 3？","將卡片放置在駕駛座側 B 柱的讀卡機感應區域。"
"如何使用卡片鑰匙啟動 Model 3？","進入車內後，在感應到卡片後兩分鐘內踩下煞車踏板。若超過時間，需將卡片放置在中控台無線充電器附近的讀卡機感應區再次驗證。"
"遙控鑰匙有哪些按鈕功能？","按兩下前行李廂鈕開啟前廂；按一下上鎖/解鎖鈕可上鎖(需車門緊閉)，按兩下可解鎖；按兩下後行李廂鈕開啟後廂；長按後行李廂鈕 1-2 秒可開啟充電埠門蓋。"
"如何管理 Model 3 的鑰匙？","輕觸「控制」>「車鎖」以顯示鑰匙清單，可在此新增、刪除或自訂鑰匙名稱。"
"如何新增手機鑰匙？","下載 Tesla App，登入帳戶，在車輛附近開啟 App，輕觸「設定手機鑰匙」或至「安全」>「設定手機鑰匙」，依照指示操作。"
"如何從觸控螢幕新增卡片或遙控鑰匙？","需先有一把已配對的鑰匙。輕觸「控制」>「車鎖」>「鑰匙」>「新增鑰匙」，掃描新鑰匙，再掃描已配對鑰匙確認。"
"如何移除不再需要的鑰匙？","輕觸「控制」>「車鎖」，找到要刪除的鑰匙，輕觸垃圾桶圖示，並掃描一把已驗證的鑰匙確認。"
"如何更換遙控鑰匙的電池？","將鑰匙按鈕面朝下放在軟表面，用工具鬆開底蓋，取出舊電池 (CR2032)，放入新電池 (+ 面朝上)，蓋回底蓋。"
"如何從車外開啟車門把手？","用拇指按下門把手的較寬部分，把手會伸出，然後拉動把手或車門邊緣。"
"如何從車內開啟車門？","按下內部車門把手頂部的按鈕，同時推開車門。"
"在電力不足的緊急情況下，如何從車內開啟前車門？","拉起位於車窗開關前方的手動車門解鎖裝置。"
"在電力不足的緊急情況下，如何從車內開啟後車門？","掀開後車門置物袋底部的蓋板，向前拉動機械式解鎖纜線。"
"如何從車內上鎖/解鎖所有車門和行李廂？","輕觸觸控螢幕上的鎖頭圖示。"
"離車後自動上鎖功能如何運作？","當您帶著手機鑰匙或遙控鑰匙離開車輛時，車門會自動上鎖。可在「控制」>「門鎖」中設定。"
"駕駛人車門解鎖模式是什麼？","啟用後，首次解鎖時只會解鎖駕駛座車門。需長按內部開門鈕或再次操作才能解鎖其他門。"
"兒童保護鎖如何設定？","輕觸「控制」>「車鎖」>「兒童安全鎖」，可選擇鎖定左側、右側或兩側後門。"
"如何開啟/關閉車窗？","按下或拉起對應的車窗開關。按到底或拉到底可完全開啟/關閉。"
"如何鎖定後車窗？","輕觸「控制」>「車鎖」>「車窗鎖」。"
"如何開啟後行李廂？","確定車輛在停車檔 (P)，可透過手機鑰匙靠近、觸控螢幕按鈕、遙控鑰匙按鈕、行動 App 或按壓外部把手下方開關。"
"如何調整電動後行李廂的開啟高度？","打開後廂，手動調整至所需高度，按住後廂下側按鈕三秒，直到聽到確認音。"
"後行李廂的載重限制是多少？","下層隔間不超過 40 kg，上層隔間不超過 90 kg。"
"如何從後行李廂內部緊急解鎖？","按下內部發光的機械式解鎖開關。"
"如何開啟前行李廂？","確定車輛在停車檔 (P)，可透過觸控螢幕、遙控鑰匙或行動 App。"
"關閉前行李廂的正確方法是什麼？","將前蓋降下直到撞銷接觸閂鎖，雙手輕放前蓋前端綠色區域，穩穩下壓直到閂鎖扣上。"
"前行李廂的載重限制是多少？","不超過 50 公斤。"
"如何從前行李廂內部緊急逃生？","按下內部會自動亮起的釋放按鈕。"
"中控台有哪些置物空間？","有兩個主要置物隔間（前方隔間需捏壓鎖扣開啟）、置杯架、手機充電座。"
"手套箱如何開啟？","輕觸「控制」>「手套箱」。"
"如何設定手套箱 PIN 碼增加安全性？","輕觸「控制」>「安全」>「手套箱 PIN 碼」設定 4 位數 PIN。"
"衣架掛勾在哪裡？","位於第二排座椅後車窗上方兩側。"
"如何調整前排座椅？","使用座椅側邊的控制項調整前後、高度、傾斜角度、椅背和腰部支撐。"
"正確的駕駛姿勢為何？","坐挺、雙腳著地、輕鬆踩踏板、雙臂微彎握方向盤、胸部離方向盤氣囊中心至少 25 公分、安全帶肩帶過肩頸中間，腹帶橫跨臀部。"
"如何收合後排座椅？","清空座椅和後方腿部空間，拉動椅背旁的控制桿，將座椅向前折疊。"
"如何操作座椅加熱器？","透過恆溫控制畫面（觸控螢幕底部）或語音指令，可設定 3 段加熱等級或自動模式。"
"Model 3 是否支援 ISOFIX/i-Size 兒童座椅固定系統？","支援，位於後排外側座椅。"
"安裝兒童安全座椅時應注意什麼？","務必遵循兒童座椅製造商和 Tesla 手冊的指示進行安裝與固定。"
"Model 3 的安全氣囊分佈在哪裡？","膝部（前座）、前氣囊（前座）、椅內式側氣囊（前座，駕駛座含遠側）、窗簾式氣囊（前後）。"
"副駕駛座安全氣囊何時應關閉？","當有兒童乘坐（即使使用安全座椅）時，必須關閉以策安全。"
"如何關閉/開啟副駕駛座安全氣囊？","輕觸「控制」>「安全」>「副駕駛座安全氣囊」進行切換。需在停車檔 (P)。"
"安全氣囊充氣後會發生什麼？","釋放細微粉末、車門解鎖、危險警告燈亮起、車內燈開啟、高電壓停用、車窗通風、車輛煞停。"
"如果安全氣囊充氣或車輛發生碰撞，後續該如何處理？","車輛需經維修才能再次啟動。需檢查並視情況更換安全氣囊、安全帶預緊裝置等相關元件。"
"如何使用 Tesla 行動應用程式與 Model 3 互動？","需下載 App、登入 Tesla 帳戶、啟用手機藍牙及 App 權限、啟用車輛的「允許行動裝置存取」。"
"Tesla 行動應用程式可以遠端控制哪些功能？","上鎖/解鎖、恆溫控制、查看充電狀態、開啟行李廂、查看位置、閃燈/鳴喇叭、啟用無鑰匙駕駛、召喚、排程、安全設定、升級購買等。"
"如何將存取權授予第二位駕駛人？","從 Tesla 行動應用程式主畫面進入「安全」>「新增駕駛人」，依照指示操作。"
"如何連接 Wi-Fi 網路？","輕觸「控制」>「Wi-Fi」，選擇網路，輸入密碼（若需要）後確認。"
"為何建議讓 Model 3 連接 Wi-Fi？","為了確保快速可靠交付軟體和地圖更新。"
"如何配對藍牙手機或裝置？","坐在車內，開啟手機藍牙，在觸控螢幕輕觸「控制」>「藍牙」，等待掃描到裝置後點擊「連接」，確認配對碼。"
"配對藍牙裝置後，可以允許存取哪些資訊？","聯絡人、最近通話、簡訊、行事曆、多媒體檔案。"
"如何在中斷藍牙連線但不取消配對？","前往「控制」>「藍牙」>「已配對的裝置」，展開裝置名稱清單，輕觸「中斷連接」。"
"如何取消藍牙裝置配對？","前往「控制」>「藍牙」>「已配對的裝置」，展開裝置名稱清單，輕觸「忘記裝置」。"
"如何與手機聯絡人進行免持通話？","使用手機 App 中的聯絡人清單、最近通話清單或語音指令。"
"如何同步手機行事曆至 Model 3？","在 Tesla 行動應用程式中啟用「行事曆同步」。"
"如何使用 Zoom 進行視訊會議？","在停車狀態下，透過觸控螢幕開啟 Zoom App 登入或加入會議。行駛中僅限音訊模式。"
"HomeLink 通用收發器可以控制哪些裝置？","最多三組 RF 設備，如車庫門、大門、燈光、保全系統。"
"如何設定 HomeLink？","將車輛停在裝置前方，輕觸觸控螢幕頂部 HomeLink 圖示 >「建立 HomeLink」，輸入名稱，選擇模式（標準/D/UR），依照螢幕指示操作。"
"HomeLink 如何實現自動開啟/關閉？","在 HomeLink 設定中，啟用「到達時自動開啟」和/或「離開時自動關閉」，並設定觸發距離。"
"如何啟動 Model 3？","踩下煞車踏板。若未偵測到鑰匙，需使用卡片鑰匙或手機鑰匙驗證。"
"Model 3 何時會自動關閉電源？","結束駕駛並切換至停車檔 (P) 後離開車輛，或在停車檔 (P) 靜置 30 分鐘後。"
"如何手動關閉 Model 3 電源？","輕觸「控制」>「安全」>「關閉電源」。"
"如果 Model 3 出現異常行為，如何重新啟動車輛電源？","切換至停車檔 (P)，輕觸「控制」>「安全」>「關閉電源」，等待至少兩分鐘不與車輛互動，然後踩煞車或開門喚醒。"
"如何調整方向盤位置？","輕觸「控制」>「轉向」，使用方向盤左側滾輪按鈕上下左右調整。"
"方向盤的轉向力度可以調整嗎？","可以，輕觸「控制」>「動態」>「轉向力度」，選擇「輕」、「標準」或「重」。"
"如何調整後視鏡？","輕觸「控制」>「後視鏡」，使用方向盤左滾輪按鈕選擇左/右鏡並調整角度。"
"後視鏡有哪些自動功能？","自動傾斜（倒車時）、自動變暗（防眩光）、自動收合（上鎖或到達特定地點時）。可在「控制」>「後視鏡」中設定。"
"如何使用觸控螢幕換檔？","從螢幕邊緣滑出駕駛模式條，向上滑動為前進 (D)，向下滑動為倒車 (R)，輕觸 P 為停車。"
"如何使用車頂主控台換檔？","在觸控螢幕無法使用等情況下，按下車頂對應的 P、R、N 或 D 按鈕。通常需先踩煞車。"
"自動移出停車檔 (Beta 版) 如何運作？","啟用後，車輛會根據周圍環境自動選擇前進 (D) 或倒車 (R)。需踩煞車確認。"
"如何進入空檔 (N)？","開啟「控制」，按住「空檔」圖示；或從車頂主控台選取 N。"
"拖車模式是什麼？如何啟用？","讓車輛在空檔自由滑行（例如拖上平板卡車）。輕觸「控制」>「維修」>「拖車」啟用。"
"外部車燈的「自動」模式如何運作？","根據環境光線自動開啟/關閉頭燈、尾燈等。"
"如何手動控制外部車燈？","輕觸「控制」>「車燈」，選擇關閉、停車、開啟等模式。"
"下車後頭燈亮起功能如何設定？","輕觸「控制」>「車燈」>「下車後頭燈亮起」開啟/關閉。開啟後，停車開門後頭燈會短暫亮起。"
"如何控制車頭遠光燈？","使用方向盤左側的遠光燈按鈕：快按閃爍，按住開啟（需達計時），再按住關閉。"
"主動式轉向頭燈 (若有配備) 有何功能？","自動調整頭燈光束以改善視野，例如根據對向來車或前方車輛調整遠光燈，或根據彎道調整光線方向。"
"如何開啟危險警告閃燈？","按下車頂中央控制台駕駛模式選擇器中間的按鈕。"
"如何操作雨刷與清洗液？","按下方向盤上的雨刷按鈕，或使用觸控螢幕上的雨刷選單（也可透過左滾輪調整）。按住按鈕可噴灑清洗液。"
"雨刷的「自動」模式如何運作？","系統會偵測降雨量並自動調整擦拭速度和強度。啟用 Autopilot 時會自動設為自動。"
"緊急煞車時 ABS 系統如何作用？","持續監控輪速並調節煞車力道，防止車輪鎖死以維持轉向控制。"
"動態煞車燈 (若有配備) 何時會作用？","在高速行駛 (超過 50 km/h) 時重踩煞車，煞車燈會快速閃爍警示後車。"
"再生煞車是什麼？","當車輛滑行或減速時，馬達會反向運作將動能轉換為電能回充至電池，同時達到減速效果。"
"再生煞車的強度會受什麼因素影響？","電池狀態（溫度、電量）和設定。"
"如何啟用「在再生煞車受限時啟用煞車」？","輕觸「控制」>「動態」>「在再生煞車受限時啟用煞車」。可在再生煞車受限時自動應用正規煞車以提供一致的減速感。"
"手煞車如何啟用與解除？","透過觸控螢幕「控制」>「安全」>「停車煞車」啟用。換檔時自動解除。"
"如何啟用停車輔助的聲音回饋？","輕觸「控制」>「安全」>「停車輔助警示音」。"
"「保持煞車」功能是什麼？","車輛完全停止時，即使放開煞車踏板，系統仍會持續施加煞車，直到踩下加速踏板。"
"如何啟用「脫困起步」允許車輪有限度打滑？","輕觸「控制」>「動態」>「脫困起步」。用於從鬆軟路面起步。"
"加速模式有哪些選項？","舒適、標準、瘋速模式（Performance 車型）。可在「控制」>「動態」>「加速模式」中選擇。"
"懸吊設定 (Performance 車型) 有哪些選項？","標準（舒適與操控兼具）、跑車（更穩定受控）。可在「控制」>「動態」>「駕駛與操控」中選擇。"
"賽道模式 (Performance 車型) 的用途是什麼？","專為封閉賽道設計，調整穩定性控制、循跡控制、再生煞車和冷卻系統以提升性能。"
"如何啟用和自訂賽道模式？","切換至停車檔 (P)，輕觸「控制」>「動態」>「賽道模式」。可自訂平衡控制、穩定性輔助、再生煞車、駕駛後冷卻等設定。"
"賽道模式中的單圈計時器如何使用？","啟用賽道模式後，在地圖上設定起終點，按下「開始」即可計時。"
"賽道模式中如何監控車輛健康度？","觸控螢幕的車輛狀態區會以顏色標示電池、馬達、煞車、輪胎的狀態（綠色為理想）。"
"駕駛人設定檔儲存哪些資訊？","座椅、方向盤、後視鏡位置，以及導航、媒體、Autopilot 等多種偏好設定。"
"如何建立和選取駕駛人設定檔？","輕觸觸控螢幕頂部的駕駛人圖示，選擇「駕駛人設定檔設定」>「新增駕駛人」，或直接選取已存在的設定檔。"
"如何將駕駛人設定檔連結至鑰匙？","確定使用該設定檔，輕觸「控制」>「車鎖」>「鑰匙」，選擇鑰匙旁的駕駛人圖示進行連結。"
"「輕鬆進出」功能如何運作？","可設定方向盤和駕駛座椅在停車且解開安全帶時自動調整，方便進出。可與駕駛人設定檔連結。"
"行人撞擊防護系統如何運作？","在偵測到與行人正面碰撞時（特定速度範圍內），前蓋後部會自動抬高約 80mm，以緩衝撞擊力道。"
"如果行人撞擊防護系統已部署，該怎麼辦？","觸控螢幕會顯示警示。請立即將車輛送往 Tesla 服務中心或認可的鈑金中心進行維修。"
"如何查看里程表和旅程資訊？","輕觸「控制」>「軟體」查看總里程。輕觸「控制」>「旅程」查看旅程電腦資訊（可重設）。"
"後視鏡頭何時會顯示影像？","切換至倒車檔 (R) 時自動顯示。也可透過應用程式啟動工具手動開啟「鏡頭」應用程式。"
"行人警示系統 (PWS) 的作用是什麼？","在低速行駛或倒車時發出聲音，提醒行人車輛接近。"
