question,answering
"遙控鑰匙（若有配備）有哪些按鈕功能？","按兩下前行李廂按鈕可開啟前行李廂；按一下上鎖/解鎖鈕可上鎖，按兩下可解鎖所有車門與行李廂；按兩下後行李廂按鈕可開啟後行李廂；長按後行李廂按鈕 1-2 秒可開啟充電埠門蓋。[source: 343]"
"如何管理 Model 3 的鑰匙（新增、移除、查看）？","輕觸「控制」>「車鎖」，即可顯示所有可進出車輛的鑰匙清單。您可以在此新增鑰匙（手機鑰匙、卡片鑰匙、遙控鑰匙）或移除不再需要的鑰匙。[source: 343, 344, 345]"
"如何更換遙控鑰匙的電池？","將遙控鑰匙按鈕面朝下放置，使用小型扁平工具鬆開底蓋，取出舊電池 (CR2032)，將新電池「+」面朝上插入（避免接觸平坦表面），然後蓋回護蓋並測試。[source: 346]"
"如何從外部開啟 Model 3 的車門把手？","使用拇指按下車門把手的較寬部分，把手會向外伸出，接著拉動把手或車門邊緣即可開啟車門。把手會自動縮回。[source: 347]"
"如何啟用兒童保護鎖？","在觸控螢幕上輕觸「控制」>「車鎖」>「兒童安全鎖」。您可以選擇啟用「二者」後車門，或只啟用「左」或「右」側車門的兒童保護鎖。[source: 347, 348]"
"如何操作 Model 3 的電動車窗？","按下駕駛座車門上的開關可降下對應車窗（按到底一次全降，按住部分下降）；拉起開關可升起車窗（拉到底一次全升，拉住部分升起）。[source: 349]"
"如何鎖定後車窗，防止乘客操作？","輕觸「控制」>「車鎖」>「車窗鎖」即可鎖定後車窗開關。再次輕觸可解鎖。[source: 349]"
"如何開啟 Model 3 的後行李廂？","確保車輛在停車檔 (P)，可透過觸控螢幕「開啟」按鈕、按兩下遙控鑰匙後行李廂按鈕、使用行動應用程式按鈕，或按壓外部把手下的開關（需偵測到有效鑰匙）來開啟。[source: 350]"
"如何調整電動後行李廂的開啟高度？","打開行李廂，手動調整至所需高度，然後按住行李廂下側的按鈕三秒，直到聽到確認警示音。關閉再重新開啟以確認設定。[source: 350, 351]"
"後行李廂的載重限制是多少？","後行李廂下層隔間載重切勿超過 88 磅 (40 kg)，上層隔間（下層隔間蓋上方）載重切勿超過 198 磅 (90 kg)。[source: 351]"
"如果 Model 3 沒電，如何從內部開啟後行李廂？","後行李廂內部有一個發光的機械式解鎖開關。用力按住發光的按鈕以鬆開閂鎖，同時拉開後行李廂。[source: 351]"
"如何開啟 Model 3 的前行李廂（前蓋）？","確保車輛在停車檔 (P)，可透過觸控螢幕「開啟」圖示、按兩下遙控鑰匙前行李廂按鈕，或使用行動應用程式按鈕來解鎖前蓋，然後再手動拉開前蓋。[source: 352]"
"如何正確關閉 Model 3 的前蓋？","將前蓋降下直到撞銷碰觸蓋閂，然後將雙手輕放在前蓋前端的特定綠色區域，穩穩往下壓讓蓋閂扣上。切勿施壓於紅色區域或前緣，也不要用單手或猛力關閉。[source: 352]"
"前行李廂的載重限制是多少？","前行李廂切勿超過 110 磅 (50 公斤)。[source: 353]"
"如果 Model 3 沒電，前行李廂內是否有緊急逃生裝置？","前行李廂內設有會自動亮起的內部釋放按鈕。按下此按鈕可鬆開前行李廂的鎖扣，然後將前蓋往上推即可逃脫。[source: 353]"
"如何開啟 Model 3 的中控台置物隔間？","若要打開主要置物隔間，請捏壓前唇蓋下的鎖扣。將蓋子滑向前方以開啟前置物隔間。[source: 354]"
"如何使用後座中控置物台？","後座中控置物台與第二排座椅中央整合。向下拉置物台即可取用後置杯架或作為扶手使用。[source: 354]"
"如何開啟手套箱？可以設定密碼嗎？","輕觸「控制」>「手套箱」即可開啟。若要提升安全性，可輕觸「控制」>「安全」>「手套箱 PIN 碼」設定 4 位數 PIN 碼。[source: 354]"
"如何調整 Model 3 的前排座椅？","使用座椅側邊的控制鈕調整前後、上下、椅背傾斜角度及腰部支撐。也可透過觸控螢幕的「控制」>「座椅」調整副駕駛座。[source: 355]"
"調整座椅時有哪些安全注意事項？","調整前應檢查座椅周圍是否有障礙物。請勿在車輛行駛中調整座椅。確保椅背向後仰角不超過 30 度，以防碰撞時受傷。[source: 355]"
"如何收合與抬起 Model 3 的後排座椅？","收合前請清空座椅物品並確認安全帶已解開。拉動椅背上的對應控制桿，將座椅向前收合。抬起時將椅背往上拉直到固定，並前後推動確認已鎖定。[source: 355, 356]"
"Model 3 的座椅是否有頭枕調整功能？","前排座椅和第二排座椅都配備無法調整或移除的整合式固定頭枕。[source: 356]"
"如何操作 Model 3 的座椅加熱器？","透過觸控螢幕的恆溫控制介面操作。前排和後排座椅各有 3 個加熱等級（最高 3 至最低 1）。也可設定為「自動」，讓系統根據車廂溫度調整。[source: 356, 463]"
"可以在 Model 3 的前排座椅使用椅套嗎？","不建議。使用椅套可能會限制椅內式側安全氣囊的充氣膨脹，並可能干擾乘客偵測系統（影響副駕駛座前方安全氣囊的判斷）。[source: 356]"
"如何正確繫上 Model 3 的安全帶？","確保座椅位置正確，平穩拉出安全帶，使其平整繞過骨盆、胸部及鎖骨中間（頸部與肩膀之間），無打結。將插銷插入帶扣聽到喀嗒聲，並拉動確認繫牢，收緊多餘鬆弛部分。[source: 357]"
"如何調整前排座椅安全帶肩部錨點的高度？","按住肩部錨點上的按鈕鬆開鎖定，上下移動錨點至安全帶平整橫越鎖骨中心點的位置，然後鬆開按鈕鎖定。駕駛前確認已鎖定。[source: 357]"
"Model 3 的安全帶是否有預緊裝置？","前排座椅安全帶配有預緊裝置，可在碰撞時與安全氣囊一同作用，收緊安全帶以降低乘客前傾幅度。後排外側座椅也有肩部預緊裝置。[source: 358]"
"如果發生碰撞，安全帶是否需要檢查或更換？","是的，即使組件沒有明顯損壞，因為發生碰撞事故而使用的安全帶受損，也必須交由 Tesla 或認證修理廠檢查或更換。[source: 358]"
"可以讓兒童坐在副駕駛座嗎？","絕對不行。即使使用兒童安全座椅或加高座椅，且副駕駛座安全氣囊已關閉，也不應讓嬰兒或兒童坐於副駕駛座，因為安全氣囊膨脹可能造成嚴重傷害或死亡。兒童應僅乘坐在後座。[source: 360]"
"安裝兒童安全座椅前，是否需要關閉副駕駛座安全氣囊？","是的，Tesla 強烈建議在副駕駛座放置兒童座椅前，先關閉副駕駛座安全氣囊。請在停車檔（P）下，輕觸「控制」>「安全」>「副駕駛座安全氣囊」來關閉。[source: 360]"
"Model 3 後排座椅支援哪些兒童安全座椅安裝方式？","後排外側座椅支援安全帶式或 ISOFIX/i-Size 兒童保護裝置固定系統。後排中央座椅僅支援安全帶式兒童保護裝置固定系統。[source: 362, 363]"
"如何安裝 ISOFIX/i-Size 兒童保護裝置固定系統？","後排外側座椅配有 ISOFIX/i-Size 錨桿（位於座墊與椅背間）。請依兒童座椅製造商指示將座椅滑入錨桿，直到聽到「喀擦聲」表示卡入定位。安裝後需確認是否穩固。[source: 364]"
"如何連接兒童安全座椅的上方栓帶？","後排座椅後方的隔板上有錨點（需下壓護蓋背面以使用）。將座椅的上方栓帶掛鉤扣在對應座椅的錨點上，並依製造商指示繫緊。[source: 365]"
"Model 3 有哪些安全氣囊？位置在哪裡？","Model 3 配備膝部安全氣囊（前座）、前安全氣囊（前座）、椅內式側安全氣囊（前座軀幹、駕駛座頭部/軀幹）、以及窗簾式安全氣囊（保護頭部）。位置大致分布在方向盤、儀表板、座椅側面及車頂邊緣。[source: 45, 370]"
"副駕駛座安全氣囊的狀態如何顯示？如何控制？","狀態顯示在觸控螢幕上方角落（開啟或關閉圖示）。若要控制，需在停車檔（P）下，輕觸「控制」>「安全」>「副駕駛座安全氣囊」進行切換。[source: 371]"
"如果安全氣囊充氣膨脹後，車輛需要維修嗎？","是的。如果安全氣囊已充氣膨脹，或車輛發生過碰撞事故，需經過維修才能再發動。安全氣囊、安全帶預緊裝置及相關元件都需檢查，必要時更換。請立即使用行動應用程式預約維修。[source: 371]"
"如果觸控螢幕上的安全氣囊警告指示燈持續亮著，代表什麼？","表示安全氣囊系統可能無法正常運作。此指示燈應僅在初次啟動時短暫亮起後熄滅。若持續亮著，請立即使用行動應用程式安排服務預約，切勿駕駛。[source: 372]"
"如何設定 Tesla 行動應用程式與 Model 3 連線？","下載應用程式，使用 Tesla 帳戶登入，在車輛觸控螢幕啟用「允許行動裝置存取」（「控制」>「安全」），並開啟手機藍牙及應用程式的藍牙與位置權限。[source: 373, 374]"
"Tesla 行動應用程式提供哪些主要功能？","可遠端上鎖/解鎖、控制恆溫（加熱/冷卻/除霜）、查看充電狀態與續航里程、開啟前後行李廂、查看車輛位置、啟用無鑰匙駕駛、控制 HomeLink、啟用哨兵/代客/限速模式、預約維修、請求道路救援等。[source: 374, 375]"
"如何將 Model 3 連線至 Wi-Fi 網路？","輕觸「控制」>「Wi-Fi」，車輛會掃描可用網路。選擇要連線的網路，輸入密碼（若需要）後輕觸「確認」。車輛會記住網路並在範圍內自動連線。[source: 376]"
"為何建議讓 Model 3 保持 Wi-Fi 連線？","Wi-Fi 通常比行動數據網路快，對於確保快速可靠地交付軟體和地圖更新非常重要，特別是在行動網路訊號不佳的區域。[source: 376]"
"如何將手機或藍牙裝置與 Model 3 配對？","坐在車內，開啟手機藍牙，在觸控螢幕輕觸「控制」>「藍牙」，等待手機出現在清單後輕觸「連接」，確認手機與螢幕上的號碼相符，並依照提示允許存取資訊。[source: 378]"
"如何使用 Model 3 的免持電話功能？","將手機透過藍牙與 Model 3 連線並允許存取聯絡人資訊後，可使用觸控螢幕上的手機應用程式（通話、訊息、聯絡人、我的最愛）或語音指令來撥打/接聽電話及收發訊息。[source: 381]"
"如何使用 Model 3 的行事曆功能？","手機與車輛配對後，在 Tesla 行動應用程式中啟用「行事曆同步」，並在手機設定中允許應用程式存取行事曆。之後手機行事曆當日與次日的活動會顯示在觸控螢幕上，可直接導航至活動地點或撥打電話。[source: 381]"
"如何設定和使用 HomeLink®（通用車庫門開啟器）？","停在要設定的裝置（如車庫門）前方，輕觸觸控螢幕頂端 HomeLink 圖示 >「建立 HomeLink」，輸入名稱，選擇模式（標準/D/UR），按「開始」並遵循指示（可能需按下裝置遙控器或接收器上的學習按鈕）。[source: 382]"
"如何啟用 HomeLink 的自動開啟/關閉功能？","輕觸 HomeLink 圖示 >「HomeLink 設定」，選擇要自動化的裝置，勾選「到達時自動開啟」和/或「離開時自動關閉」，並可設定觸發距離、是否自動收合後視鏡及是否發出警示音。[source: 383]"
"如何啟動 Model 3？","開啟車門進入車內，觸控螢幕會開啟。踩下煞車踏板，然後在觸控螢幕的駕駛模式條向上滑動掛入前進檔 (D) 或向下滑動掛入倒車檔 (R) 即可。[source: 386]"
"如何關閉 Model 3 的電源？","一般無需手動關閉。當您結束駕駛、切換至停車檔 (P) 並帶著鑰匙離開車輛時，電源會自動關閉。若需手動關閉（車輛靜止時），可輕觸「控制」>「安全」>「關閉電源」。[source: 386]"
"如何調整 Model 3 的方向盤位置？","輕觸「控制」，然後輕觸「轉向」圖示。使用方向盤上的左滾輪按鈕調整：上下滾動調整高度/傾斜角，左右按調整前後距離。[source: 388]"
"如何調整方向盤的轉向力度？","輕觸「控制」>「動態」>「轉向力度」，然後選擇「輕」、「標準」或「重」，以符合您的駕駛偏好。[source: 388]"
"Model 3 方向盤上有哪些主要按鈕及其功能？","左側有方向燈按鈕（左右轉）、遠光燈按鈕、左滾輪（多功能）；右側有多功能燈光鈕（非功能性）、巡航控制燈光鈕（非功能性）、後視鏡頭鈕、雨刷鈕、語音指令鈕、右滾輪（Autopilot）；中央為喇叭。[source: 389]"
"如何操作 Model 3 的方向燈？","按壓方向盤左側對應的箭頭按鈕即可開啟方向燈。轉動方向盤會取消（完成轉彎後）。也可再按一次按鈕取消。可設定自動取消功能。[source: 398]"
"如何開啟危險警告閃光燈（雙黃燈）？","按下位於車頂主控台駕駛模式選擇器上的按鈕即可開啟所有方向燈閃爍。再按一次關閉。[source: 399]"
"如何調整 Model 3 的外部後視鏡？","輕觸「控制」>「後視鏡」，使用左滾輪按鈕選擇要調整的「左」或「右」後視鏡，然後上下滾動調整上下角度，左右按調整內外角度。[source: 392]"
"如何啟用或停用後視鏡自動傾斜（倒車時）或自動變暗（夜間防眩光）功能？","輕觸「控制」>「後視鏡」，可找到「後視鏡自動傾斜」和「後視鏡自動變暗」的開關選項。[source: 392]"
"如何手動或自動收合/展開外部後視鏡？","手動：輕觸「控制」>「收合/展開後視鏡」。自動收合：輕觸「控制」>「後視鏡」>「後視鏡自動收合」（離開上鎖時收合）。也可設定到達特定地點時自動收合。[source: 392]"
"如何使用觸控螢幕換檔？","踩下煞車踏板時，螢幕一側會顯示駕駛模式條。向上滑動入 D 檔，向下滑動入 R 檔，輕觸 P 鈕入停車檔。若要入 N 檔，需開啟「控制」並按住「空檔」圖示。[source: 393]"
"Model 3 是否有備用的換檔方式？","是的，如果觸控螢幕無法使用，車頂主控台上的駕駛模式選擇器（P、R、N、D 按鈕）會自動啟動，必須使用此裝置換檔。[source: 393, 394]"
"如何控制 Model 3 的外部車燈？","輕觸「控制」>「車燈」可選擇關閉、停車燈、開啟（近光燈）或自動。預設為「自動」，會根據環境光線自動開關頭燈。也可透過方向盤上的遠光燈按鈕快速存取選單。[source: 397]"
"如何操作 Model 3 的遠光燈？","使用方向盤左側的遠光燈按鈕：快按快放可閃爍遠光燈；按住可持續開啟（需按住直到計時結束）；開啟後按住 1 秒可關閉。[source: 397]"
"什麼是主動式轉向頭燈？如何啟用？","啟用後，頭燈光束會自動調整以改善視野，例如遠光燈會變暗以減少對來車的眩光，或根據彎道調整。輕觸「控制」>「車燈」>「主動式轉向頭燈」啟用。[source: 398]"
"如何操作 Model 3 的擋風玻璃雨刷？","按下方向盤上的雨刷按鈕可單次擦拭，或循環切換速度（若已在運作）。按住按鈕可噴灑清洗液。也可透過觸控螢幕的雨刷選單（按雨刷鈕後出現）或「控制」>「雨刷」選擇速度（關閉、I、II、III、IIII、自動）。[source: 400]"
"Model 3 的煞車系統包含哪些功能？","包含防鎖死煞車系統 (ABS)、電子煞車力分配、整合式穩定控制、再生煞車、手煞車、煞車圓盤擦磨、液壓失靈補償、液態增壓補償及動態煞車燈（緊急煞車時閃爍）。[source: 401, 402, 403]"
"什麼是再生煞車？如何運作？","當車輛移動且腳未踩加速踏板時，再生煞車會減緩車輛速度，並將多餘電力送回電池。透過預測停靠點並減少踩踏加速踏板即可利用此功能增加續航里程。[source: 401]"
"如何啟動 Model 3 的手煞車？","輕觸「控制」>「安全」，踩下煞車踏板後輕觸「停車煞車」。也可透過按住觸控螢幕駕駛模式條上的「停車檔 (P)」按鈕來啟用。[source: 403]"
"Model 3 的停車輔助功能如何運作？","車輛會偵測前後方的物體。倒車時，觸控螢幕會顯示後方影像及物體距離視覺化圖示；前進時若偵測到前方近距離物體也會顯示。接近物體時會發出警示音（可關閉）。[source: 404]"
"什麼是「保持煞車」功能？如何使用？","當 Model 3 完全停止時，「保持煞車」會繼續維持煞車狀態，即使放開煞車踏板。啟用時觸控螢幕會顯示指示燈。踩下油門踏板或再次踩放煞車踏板即可解除。[source: 406]"
"什麼是循跡防滑控制？可以關閉嗎？","循跡控制系統透過控制煞車壓力和馬達功率，將車輪空轉打滑減至最小。預設為啟用。若要允許有限度的車輪空轉（如在鬆軟路面起步），可啟用「脫困起步」（輕觸「控制」>「動態」>「脫困起步」）。[source: 407]"
"如何調整 Model 3 的加速模式？","輕觸「控制」>「動態」>「加速模式」，可選擇「舒適」（限制加速）、「標準」（正常加速）或「瘋速模式」（Performance 車款專屬，提供最大加速）。[source: 408]"
"什麼是 Autopilot 自動輔助駕駛？包含哪些基本功能？","Autopilot 是進階駕駛輔助功能套件。基本功能包括「主動巡航定速」（保持設定速度和跟車距離）和「自動輔助轉向」（在主動巡航定速基礎上，將車輛保持在車道內）。[source: 423]"
"如何啟用主動巡航定速？","如果 Autopilot 啟動設定為「按兩下」，按下右滾輪按鈕一次即可。如果設定為「按一下」，則「主動巡航定速」會與「自動輔助轉向」同時啟用。[source: 425, 426]"
"如何啟用自動輔助轉向？","根據您的「Autopilot 自動輔助駕駛啟動」設定（「控制」>「Autopilot 自動輔助駕駛」），按一下或按兩下右滾輪按鈕即可啟用。[source: 427]"
"使用 Autopilot 自動輔助駕駛時，需要注意什麼？","Autopilot 是駕駛輔助功能，非全自動駕駛。駕駛人必須隨時將雙手放在方向盤上、注意路況，並準備好隨時接管車輛。系統會發出提醒要求輕轉方向盤。[source: 423, 431]"
"什麼是哨兵模式？如何啟用？","哨兵模式可在車輛上鎖停車時，使用鏡頭和感測器監控周圍環境，偵測到威脅時會發出警報、閃爍頭燈、傳送通知至手機並儲存影片至 USB 隨身碟。可透過「控制」>「安全」>「哨兵模式」或語音指令啟用。[source: 458, 459]"
"行車記錄器如何運作？如何儲存影片？","行車記錄器會在駕駛時錄製車輛周圍影像至 USB 隨身碟。可設定為自動（偵測到碰撞時儲存）、手動（輕觸圖示儲存）或按喇叭時儲存過去十分鐘的影片。[source: 456]"
"使用行車記錄器或哨兵模式對 USB 隨身碟有何要求？","需要最小容量 64GB、持續寫入速度至少 4MB/s、相容 USB 2.0，並格式化為 exFAT、MS-DOS FAT、ext3 或 ext4。建議使用手套箱內的 USB 連接埠。[source: 461]"
"如何格式化 USB 隨身碟以供行車記錄器/哨兵模式使用？","可將隨身碟插入 USB 連接埠，透過觸控螢幕「控制」>「安全」>「格式化 USB 隨身碟」自動格式化。或在電腦上手動格式化為支援的格式，並建立名為「TeslaCam」的根資料夾。[source: 461]"
"如何查看行車記錄器或哨兵模式錄製的影片？","車輛處於停車檔時，輕觸應用程式啟動工具中的行車記錄器圖示即可在觸控螢幕上查看。或將 USB 隨身碟插入電腦，檢視 TeslaCam 資料夾內的 SavedClips 或 SentryClips 子資料夾。[source: 462]"
"Model 3 的建議保養週期為何？","煞車油每 4 年檢查（必要時更換）；車廂空氣濾清器每 2 年更換；若在冬季撒鹽地區行駛，煞車卡鉗每年或每 12,500 英里 (20,000 公里) 清潔潤滑一次；輪胎每 6,250 英里 (10,000 公里) 或胎紋深度差達 1.5 mm 時換位。[source: 500]"
"如何預約 Tesla 維修服務？","透過 Tesla 行動應用程式，輕觸「服務」，選取所需服務類型並遵循指示進行預約。提供詳細問題描述、照片/影片、發生時間地點等資訊有助於診斷。[source: 500]"
"如何檢查 Model 3 的胎壓？建議的胎壓在哪裡看？","胎壓顯示在觸控螢幕車輛狀態區的視卡或「控制」>「服務」中。建議的冷胎壓力標示在駕駛座側中央車門柱上的「輪胎與負載資訊」標籤上。[source: 503]"
"輪胎多久需要換位一次？","Tesla 建議每 6,250 英里（10,000 公里）或前後輪胎紋深度差達 2/32 吋（1.5 公釐）以上時，進行一次輪胎換位，以先到者為準。[source: 503, 504]"
"如何清潔 Model 3 的車身外裝？","先用水管沖掉砂礫，特別是輪拱和接縫處。用乾淨軟布和溫和的車用洗車精手洗。用清水沖淨，再用麂皮布擦乾。避免使用刺激性化學物質或在陽光直射下清洗。[source: 509]"
"清潔觸控螢幕需要注意什麼？","請使用柔軟、不起毛球的專用清潔布。切勿使用清潔劑、含酒精凝膠或濕紙巾。可啟用「畫面清潔模式」（「控制」>「顯示」）來避免誤觸。[source: 511]"
"如何更換擋風玻璃雨刷片？","將車輛切至停車檔 (P)，啟用「雨刷維修模式」（「控制」>「服務」）讓雨刷臂移至維修位置。稍微抬起雨刷臂，在下方墊毛巾，按下鎖定卡榫取下舊雨刷片，裝上符合規格的新雨刷片（駕駛側 26 吋，乘客側 19 吋）直到卡入定位，然後關閉維修模式。[source: 512, 513]"
"如何正確地使用千斤頂頂起或舉升 Model 3？","將舉升臂襯墊放置在車輛底盤指定的四個舉升點下方（不可放在電池或縱樑下）。調整高度與位置後，緩慢升高舉升器並啟用安全鎖。[source: 514]"
"什麼是車輛識別號碼 (VIN)？在哪裡可以找到？","VIN 是車輛的唯一識別碼。可在觸控螢幕（「控制」>「軟體」）、儀表板頂部（透過擋風玻璃看）、右側門柱壓印（部分車型需移除飾板）或右前座地板下（部分車型需掀開地毯）找到。[source: 518]"
"如何聯絡 Tesla 道路救援？電話號碼是？","在保固期間內可享有道路救援服務。聯絡時請提供 VIN、確切位置及問題性質。台灣地區電話號碼為 0809-007-518。也可透過 Tesla 行動應用程式請求救援。[source: 534]"
"如果 Model 3 電力耗盡無法充電，該怎麼辦？","需要先對低電壓電池進行借電起動（可能需要外部電源開啟前蓋）。待觸控螢幕開啟後，插入充電纜線為高電壓電池充電。一旦開始充電，即可移除外部電源。[source: 535]"
"如果 Model 3 沒有低電壓電力，如何開啟前蓋？","移除前拖車環蓋，將外部低電壓電源的正負極分別連接到露出的紅色 (+) 和黑色 (-) 端子，開啟外部電源即可解鎖前蓋閂鎖（僅解鎖，不充電）。[source: 536]"
"如何對 Model 3 的低電壓電池進行借電起動？","開啟前蓋，拆下檢修口蓋板，將外部電源的正極 (+) 接到紅色 (+) 借電柱，負極 (-) 接到煞車油儲液罐旁的接地螺栓。開啟外部電源 20 秒後關閉。等待 2 分鐘後嘗試啟動車輛。[source: 537]"
"如果 Model 3 沒電，如何從內部手動開啟車門？","前車門：向上拉車窗開關前方的手動車門解鎖裝置。後車門：移除後車門袋底部的解鎖蓋，向前拉機械式解鎖纜線。[source: 538]"
